,DIVIDE,MULTIPLY,MINUS,PLUS,INT,VARIABLE_IDENTIFIER,CLOSE_BRACE,VARIABLE_ASSIGNMENT,OPEN_BLOCK_COMMENT,BOOL_TRUE,BOOL_FALSE,EQUAL,GREATER_THAN,GREATER_THAN_EQUAL,LESS_THAN,LESS_THAN_EQUAL,LINE_COMMENT,STRING,OPEN_BRACE,ELSE,IF,WHILE,PRINT,TYPE_BOOLEAN,TYPE_INT,TYPE_STRING,CLOSE_BLOCK_COMMENT
<statement>,,,,,,1,,,5,,,,,,,,5,,3,,2,3,4,1,1,1,
<variable-statement>,,,,,,7,,,,,,,,,,,,,,,,,,6,6,6,
<variable-creation>,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,
<variable-reassignment>,,,,,,11,,,,,,,,,,,,,,,,,,,,,
<assignment>,,,,,,,,12,,,,,,,,,,,,,,,,,,,
<if-statement>,,,,,,,,,,,,,,,,,,,,,13,,,,,,
<else-clause>,,,,,,,16,,,,,,,,,,,,,14,,,,,,,
<else-if-statement>,,,,,,,,,,,,,,,,,,,,17,,,,,,,
<else-statement>,,,,,,,,,,,,,,,,,,,,18,,,,,,,
<loop-statement>,,,,,,,,,,,,,,,,,,,20,,,19,,,,,
<while-statement>,,,,,,,,,,,,,,,,,,,,,,21,,,,,
<do-while-statement>,,,,,,,,,,,,,,,,,,,22,,,,,,,,
<print-statement>,,,,,,,,,,,,,,,,,,,,,,,23,,,,
<print-value>,,,,,25,24,,,,25,25,,,,,,,25,,,,,,,,,
<comment>,,,,,,,,,27,,,,,,,,26,,,,,,,,,,
<line-comment>,,,,,,,,,,,,,,,,,28,,,,,,,,,,
<block-comment>,,,,,,,,,29,,,,,,,,,,,,,,,,,,
<arithmetic-statement>,,,,,30,30,,,,,,,,,,,,,,,,,,,,,
<arithmetic-value>,,,,,32,33,,,,,,,,,,,,,,,,,,,,,
<arithmetic-operator>,37,36,35,34,,,,,,,,,,,,,,,,,,,,,,,
<comparison-expression>,,,,,38,38,,,,38,38,,,,,,,38,,,,,,,,,
<comparison-value>,,,,,39,40,,,,39,39,,,,,,,39,,,,,,,,,
<comparison-operator>,,,,,,,,,,,,43,45,44,41,42,,,,,,,,,,,
<type>,,,,,,,,,,,,,,,,,,,,,,,,48,47,46,
<variable-name>,,,,,,49,,,,,,,,,,,,,,,,,,,,,
<value>,,,,,54,,,,,55,56,,,,,,,53,,,,,,,,,
<string>,,,,,,,,,,,,,,,,,,53,,,,,,,,,
<int>,,,,,54,,,,,,,,,,,,,,,,,,,,,,
<boolean>,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,